,angle,dist,x,y
0,-10.0,604.0,594.0,-109.0
1,-10.0,595.0,587.0,-100.0
2,-9.0,594.0,586.0,-96.0
3,-9.0,595.0,588.0,-93.0
4,-9.0,594.0,587.0,-89.0
5,-8.0,595.0,589.0,-82.0
6,-8.0,593.0,588.0,-78.0
7,-7.0,596.0,591.0,-75.0
8,-7.0,597.0,593.0,-71.0
9,-7.0,599.0,595.0,-68.0
10,-6.0,599.0,596.0,-64.0
11,-6.0,601.0,598.0,-61.0
12,-5.0,600.0,597.0,-57.0
13,-5.0,599.0,597.0,-53.0
14,-5.0,599.0,597.0,-50.0
15,-4.0,597.0,595.0,-46.0
16,-4.0,596.0,595.0,-42.0
17,-4.0,595.0,594.0,-38.0
18,-3.0,596.0,595.0,-35.0
19,-3.0,595.0,594.0,-31.0
20,-3.0,595.0,594.0,-27.0
21,-2.0,598.0,598.0,-24.0
22,-2.0,600.0,600.0,-20.0
23,-2.0,605.0,605.0,-17.0
